"","industry_name","adj_r_2","(Intercept).Estimate","(Intercept).Std. Error","(Intercept).t value","(Intercept).Pr(>|t|)","curr_ind.Estimate","curr_ind.Std. Error","curr_ind.t value","curr_ind.Pr(>|t|)"
"17","Labor",0.334595554583951,-0.413987363036253,0.368758705337648,-1.12265109146967,0.290640934127883,1.01744322978599,0.41438804341139,2.45529099104799,0.0364390621556355
"18","Public Sector Unions",0.329310410968452,-0.372776951229319,0.355488962361565,-1.04863157706194,0.32169036143605,0.969679664740341,0.398871998418124,2.43105474584821,0.0379169042269179
"19","Trucking",0.32787152507592,0.410790043326249,0.0348225503807363,11.7966673559182,8.90529431997204e-07,0.300362699904359,0.123887423521438,2.42448096317366,0.038327926757964
"20","General Contractors",0.3203436211055,0.410807514742979,0.0352849653808465,11.6425653336754,9.95790590340066e-07,0.428174289242136,0.179133334852579,2.39025466474182,0.0405404601244585
"21","Defense Aerospace",0.315118409678733,0.3031847891402,0.0801224514985704,3.78401788100068,0.00432222282292258,0.448583818847223,0.189543254133869,2.36665673435363,0.0421392049484717
"22","Building Trade Unions",0.314121425326351,-0.272000673891854,0.323208948459595,-0.841562943068878,0.421829947875699,0.870709614538504,0.368606050934428,2.3621685328584,0.0424502645302583
"23","Pharmaceuticals/Health Products",0.304379714276941,0.375749188035291,0.0509280913445841,7.37803397132906,4.20016588353635e-05,0.291478592120621,0.125716073573382,2.31854673659117,0.0455941529791831
"24","Construction Services",0.303172005485449,0.34915950364785,0.0623163845880781,5.60301285056657,0.000332986159125226,0.335241202236354,0.144927337006436,2.31316747523946,0.0459974101530988
"25","Communications/Electronics",0.299774178533199,0.29145250576116,0.0875482450774464,3.32905023399769,0.0088123972622208,0.448355750038667,0.195101340537637,2.29806596306895,0.047148356938588
"26","Defense",0.295329456671206,0.343087759028785,0.0658744343364532,5.20820804739616,0.000557906589559035,0.359327296838014,0.157711546216792,2.27838294314913,0.0486910743718102
"27","Lawyers/Law Firms",0.29114560667073,0.23400313344134,0.114276921700054,2.04768495650884,0.0708787090670938,0.439133047393876,0.194312943998359,2.25992689091049,0.0501825915451905
"28","Auto dealers, new & used",0.288316042163933,0.355041942383017,0.061525790290313,5.77061977924591,0.000269219986017084,0.449282297915574,0.199904627871817,2.24748322586941,0.0512134059306612
"29","Misc Defense",0.287148310341519,0.374231420171986,0.0532691540049653,7.02529310184095,6.15081111854346e-05,0.296849589788874,0.132382860444648,2.24235666756115,0.051644087759495
"30","Construction",0.280775136211094,0.371081436723127,0.0553134395655218,6.70870297775571,8.76641804626341e-05,0.41270378354742,0.186367221545067,2.21446550592923,0.0540500083839906
"31","Transportation",0.279684613992735,0.3556019483027,0.0623061242196841,5.70733539850576,0.00029158800363272,0.385296110921395,0.174365200779242,2.20970760908426,0.0544712177656567
"32","Pharmaceutical manufacturing",0.273111298889411,0.390437746335527,0.0474757064459759,8.22394811080522,1.77415037198829e-05,0.261422735323872,0.119857361471193,2.18111538678167,0.0570706684607755
"33","Waste Management",0.272827489013546,0.347612712079349,0.066750105551547,5.20767284496515,0.000558305369948436,0.391525184688838,0.179608252068382,2.17988416556592,0.0571852759347422
"34","Natural Gas transmission & distribution",0.272696290070419,0.370180046713596,0.0565871477514881,6.5417689603177,0.000106177751054791,0.435660298825256,0.199906980378658,2.17931508944831,0.0572383236712758
"35","Agribusiness",0.257533464656028,0.36508877161265,0.0606563132202077,6.01897399018014,0.000197846344667743,0.365616860673056,0.172957531567843,2.11391118593551,0.0636641359981109
