pac_name,affiliate,total,dem,repub,lean,year
DIANE PAC,Diane Black (R-Tenn),50500,0,50500,Solidly Republican/Conservative,2018
Empire State PAC,John Faso (R-NY),50200,0,50200,Solidly Republican/Conservative,2018
Save America PAC,James E Risch (R-Idaho),50000,0,50000,Solidly Republican/Conservative,2018
Senate Victory Fund,Thad Cochran (R-Miss),50000,0,50000,Solidly Republican/Conservative,2018
Gene PAC,Gene Green (D-Texas),49500,47500,2000,Solidly Democrat/Liberal,2018
Secure PAC,Bennie G Thompson (D-Miss),49000,49000,0,Solidly Democrat/Liberal,2018
Texas First PAC,Henry Cuellar (D-Texas),48420,48420,0,Solidly Democrat/Liberal,2018
Delivering American Values in DC,David Kustoff (R-Tenn),48000,0,48000,Solidly Republican/Conservative,2018
Evergreen PAC,Suzan DelBene (D-Wash),48000,48000,0,Solidly Democrat/Liberal,2018
Victory by Investing Building & Empowering PAC,Tony Cardenas (D-Calif),48000,48000,0,Solidly Democrat/Liberal,2018
Vote to Elect Republicans Now PAC,Vernon Buchanan (R-Fla),47500,0,47500,Solidly Republican/Conservative,2018
Sawtooth PAC,Mike Simpson (R-Idaho),47500,0,47500,Solidly Republican/Conservative,2018
Making a Real Change,Marc Veasey (D-Texas),47200,47200,0,Solidly Democrat/Liberal,2018
Conservative Roundtable,George Holding (R-NC),47000,0,47000,Solidly Republican/Conservative,2018
Cuomo New York Take Back the House,Gov. Andrew Cuomo (D-NY),47000,47000,0,Solidly Democrat/Liberal,2018
Middle Class America PAC,Daniel Lipinski (D-Ill),46500,46500,0,Solidly Democrat/Liberal,2018
Battleground PAC,Mark Walker (R-NC),45830,0,45830,Solidly Republican/Conservative,2018
Leaders Only Unite PAC,Lou Barletta (R-Pa),45600,0,45600,Solidly Republican/Conservative,2018
GreggPAC,Gregg Harper (R-Miss),45500,0,45500,Solidly Republican/Conservative,2018
Midnight Sun,Don Young (R-Alaska),45500,0,45500,Solidly Republican/Conservative,2018
"Coloradans for Family, Military & Nation",Mike Coffman (R-Colo),45200,0,45200,Solidly Republican/Conservative,2018
Semper Fi PAC,Paul Cook (R-Calif),45100,0,45100,Solidly Republican/Conservative,2018
Full House PAC,ex-Rep. Joe Heck (R-Nev),45000,0,45000,Solidly Republican/Conservative,2018
VICKY PAC,Vicky Hartzler (R-Mo),44500,0,44500,Solidly Republican/Conservative,2018
Believe in Life Liberty Yourself,Billy Long (R-Mo),44200,0,44200,Solidly Republican/Conservative,2018
Nova PAC,Barbara Comstock (R-Va),43900,0,43900,Solidly Republican/Conservative,2018
Blue Power,Don Norcross (D-NJ),43700,42700,0,Solidly Democrat/Liberal,2018
Democracy Summer Leadership PAC,Jamie Raskin (D-Md),43529,43529,0,Solidly Democrat/Liberal,2018
Congressional House Republicans In Service PAC,Chris Collins (R-NY),43500,0,43500,Solidly Republican/Conservative,2018
Husky PAC,Joe Courtney (D-Conn),43500,43500,0,Solidly Democrat/Liberal,2018
Blue Line PAC,Mike Quigley (D-Ill),43036,43036,0,Solidly Democrat/Liberal,2018
Promise Pac,Marcia L Fudge (D-Ohio),43000,43000,0,Solidly Democrat/Liberal,2018
BACON PAC,Don Bacon (R-Neb),42750,0,42750,Solidly Republican/Conservative,2018
Republicans in Congress Empowering America,Tom Rice (R-SC),42700,0,42700,Solidly Republican/Conservative,2018
Lincoln PAC,ex-Rep. Mark Kirk (R-Ill),42700,10000,32700,Leans Republican/Conservative,2018
Truth Is Markets Work Fund,Tim Walberg (R-Mich),42000,0,42000,Solidly Republican/Conservative,2018
Spirit of '76 PAC,Dan Crenshaw (R-Texas),41700,0,41700,Solidly Republican/Conservative,2018
Patriot PAC (Palazzo),Steven Palazzo (R-Miss),41300,2500,38800,Solidly Republican/Conservative,2018
Defending America's Values Everywhere,David Schweikert (R-Ariz),41000,0,41000,Solidly Republican/Conservative,2018
GWEN PAC,Gwen Moore (D-Wis),41000,41000,0,Solidly Democrat/Liberal,2018
Funding Developing Leadership PAC,Frank D Lucas (R-Okla),40500,0,40500,Solidly Republican/Conservative,2018
Star PAC,John Bergman (R-Mich),40500,0,40500,Solidly Republican/Conservative,2018
Fearless PAC,Jared Polis (D-Colo),40250,40250,0,Solidly Democrat/Liberal,2018
Individuals Dedicated to Ethics & Science,Diana DeGette (D-Colo),39669,39669,0,Solidly Democrat/Liberal,2018
At the Table!,Grace Meng (D-NY),39000,38000,0,Solidly Democrat/Liberal,2018
Restoring Our Nation PAC,Ron Estes (R-Kan),39000,0,39000,Solidly Republican/Conservative,2018
CARTER PAC,John Carter (R-Texas),38900,0,38900,Solidly Republican/Conservative,2018
Long Leaf Pine PAC,ex-Sen. Kay R Hagan (D-NC),38000,38000,0,Solidly Democrat/Liberal,2018
BYRNE PAC,Bradley Byrne (R-Ala),38000,0,38000,Solidly Republican/Conservative,2018
American Revival PAC,Mike Johnson (R-La),37700,0,37700,Solidly Republican/Conservative,2018
Hitting Home PAC,South Bend Mayor Pete Buttigieg (D),37000,37000,0,Solidly Democrat/Liberal,2018
Betty PAC,Betty McCollum (D-Minn),36500,36500,0,Solidly Democrat/Liberal,2018
People Helping People,Maxine Waters (D-Calif),36000,36000,0,Solidly Democrat/Liberal,2018
Searchlight Leadership Fund,ex-Sen. Harry Reid (D-Nev),36000,36000,0,Solidly Democrat/Liberal,2018
Build Our Future,Francis Rooney (R-Fla),35300,0,35300,Solidly Republican/Conservative,2018
Relentless Positive Action PAC,Gov. Rick Snyder (R-Mich),35200,0,35200,Solidly Republican/Conservative,2018
America Unlimited,Ted Yoho (R-Fla),35000,0,35000,Solidly Republican/Conservative,2018
Science Energy & Environment Change PAC,Jerry McNerney (D-Calif),34900,34900,0,Solidly Democrat/Liberal,2018
Building & Restoring the American Dream,Brad Wenstrup (R-Ohio),34700,0,34700,Solidly Republican/Conservative,2018
Build America PAC,Gregory W Meeks (D-NY),34500,34500,0,Solidly Democrat/Liberal,2018
LLEGO-PAC,Ruben Gallego (D-Ariz),34100,34100,0,Solidly Democrat/Liberal,2018
Building Opportunities for a Stronger Tomorrow,Mike Bost (R-Ill),32900,0,32900,Solidly Republican/Conservative,2018
Free Markets PAC,Robert Pittenger (R-NC),32900,0,32900,Solidly Republican/Conservative,2018
America's First PAC,Rob Wittman (R-VA),32600,0,32600,Solidly Republican/Conservative,2018
Patriots Leading a Majority,Patrick Meehan (R-Pa),32500,0,32500,Solidly Republican/Conservative,2018
Good Friends PAC,Suzanne Bonamici (D-Ore),32500,32500,0,Solidly Democrat/Liberal,2018
Valley First Leadership PAC,Jim Costa (D-Calif),32100,32100,0,Solidly Democrat/Liberal,2018
Fightin' Ninth PAC,Morgan Griffith (R-VA),32000,0,32000,Solidly Republican/Conservative,2018
DBM PAC,David McKinley (R-WVa),31000,0,31000,Solidly Republican/Conservative,2018
Bridge the Gap PAC,Brad Schneider (D-Ill),31000,31000,0,Solidly Democrat/Liberal,2018
Opportunity First PAC,ex-San Antonio Mayor Julian Castro (D),30700,30700,0,Solidly Democrat/Liberal,2018
Country First PAC,John McCain (R-Ariz),30565,0,30565,Solidly Republican/Conservative,2018
National Security Democrats PAC,ex-Rep Steve Israel (D-NY),30458,30458,0,Solidly Democrat/Liberal,2018
T-MAC PAC,Thomas MacArthur (R-NJ),30400,0,30400,Solidly Republican/Conservative,2018
Americans for Republican Leadership,Leonard Lance (R-NJ),30000,0,30000,Solidly Republican/Conservative,2018
GOLD PAC,Sanford Bishop Jr (D-Ga),30000,30000,0,Solidly Democrat/Liberal,2018
Ken PAC,Kenny Marchant (R-Texas),29700,0,29700,Solidly Republican/Conservative,2018
AnniePAC,Ann McLane Kuster (D-NH),29500,29500,0,Solidly Democrat/Liberal,2018
Giving Us Security PAC,Gus Bilirakis (R-Fla),29500,0,29500,Solidly Republican/Conservative,2018
We Ignite New Energy PAC,Justin Fareed (R-Calif),29400,0,29400,Solidly Republican/Conservative,2018
Southern California Fund,Brad Sherman (D-Calif),29400,29400,0,Solidly Democrat/Liberal,2018
Reviving American Jobs Again,Raja Krishnamoorthi (D-Ill),28917,28917,0,Solidly Democrat/Liberal,2018
Mac PAC,James P McGovern (D-Mass),28700,23500,5200,Leans Democrat/Liberal,2018
Kelly PAC,ex-Sen. Kelly Ayotte (R-NH),28500,1000,27500,Solidly Republican/Conservative,2018
Building Renewal in America Now,Brian Babin (R-Texas),28500,0,28500,Solidly Republican/Conservative,2018
Lead Your Nation Now PAC,Lynn Jenkins (R-Kan),28000,0,28000,Solidly Republican/Conservative,2018
Longhorn PAC,Lamar Smith (R-Texas),28000,0,28000,Solidly Republican/Conservative,2018
Peace Through Strength PAC,Duncan D Hunter (R-Calif),27500,0,27500,Solidly Republican/Conservative,2018
TN4U PAC,Scott Desjarlais (R-Tenn),27500,0,27500,Solidly Republican/Conservative,2018
CASTLEPAC,ex-Rep. Michael N Castle (R-Del),27100,0,27100,Solidly Republican/Conservative,2018
SAC PAC,Doris O Matsui (D-Calif),27000,27000,0,Solidly Democrat/Liberal,2018
Carolyn's PAC,Carolyn B Maloney (D-NY),27000,27000,0,Solidly Democrat/Liberal,2018
HANDEL PAC,Karen Handel (R-Ga),27000,0,27000,Solidly Republican/Conservative,2018
GOALPAC,Sander Levin (D-Mich),26900,26900,0,Solidly Democrat/Liberal,2018
Serving Our Country PAC,Salud Carbajal (D-Calif),26700,26700,0,Solidly Democrat/Liberal,2018
Utah First PAC,John Curtis (R-Utah),26200,0,26200,Solidly Republican/Conservative,2018
LATTA PAC,Robert E Latta (R-Ohio),26100,0,26100,Solidly Republican/Conservative,2018
Common Sense Democrat PAC,Stephen F Lynch (D-Mass),26000,26000,0,Solidly Democrat/Liberal,2018
Friends of Chaffetz,ex-Rep. Jason Chaffetz (R-Utah),25700,0,25700,Solidly Republican/Conservative,2018
"Jobs, Energy & Our Founding Fathers PAC",Jeff Duncan (R-SC),25400,0,25400,Solidly Republican/Conservative,2018
Republicans Preserving Our Majority PAC,Paul Mitchell (R-Mich),25000,0,25000,Solidly Republican/Conservative,2018
Defending American Values Everywhere,David P Joyce (R-Ohio),25000,0,25000,Solidly Republican/Conservative,2018
Reason to Believe PAC,ex-Gov. Deval Patrick (D-Mass),25000,25000,0,Solidly Democrat/Liberal,2018
Spirit of America PAC,ex-Sen. John Kerry (D-Mass),24700,24700,0,Solidly Democrat/Liberal,2018
New Voice PAC,Joyce Beatty (D-Ohio),24500,24500,0,Solidly Democrat/Liberal,2018
Jenni Achieving Goals & Opportunities,Commissioner Jenniffer Gonzalez (3-PR),23900,0,23900,Solidly Republican/Conservative,2018
Go PAC Go,Mike Gallagher (R-Wis),23600,0,23600,Solidly Republican/Conservative,2018
Give Me Liberty PAC,Dana Rohrabacher (R-Calif),23000,0,23000,Solidly Republican/Conservative,2018
Razor PAC,Steve Womack (R-Ark),23000,0,23000,Solidly Republican/Conservative,2018
Belief In Life & Liberty,Bill Johnson (R-Ohio),22800,0,22800,Solidly Republican/Conservative,2018
Bringing America Together,Brian Fitzpatrick (R-Pa),22700,0,22700,Solidly Republican/Conservative,2018
Leadership Matters for America,ex-Gov. Chris Christie (R-NJ),22700,0,22700,Solidly Republican/Conservative,2018
Making Americans Count PAC,Matt Cartwright (D-Pa),22600,20100,2500,Solidly Democrat/Liberal,2018
Bill PAC (Flores),Bill Flores (R-Texas),22500,0,22500,Solidly Republican/Conservative,2018
Immigration Reform Fund,Luis V Gutierrez (D-Ill),22200,21200,1000,Solidly Democrat/Liberal,2018
COMER PAC,James Comer (R-Ky),22000,0,22000,Solidly Republican/Conservative,2018
Dougle Eagle PAC,Steve Knight (R-Calif),22000,0,22000,Solidly Republican/Conservative,2018
Mass PAC,Michael E Capuano (D-Mass),22000,22000,0,Solidly Democrat/Liberal,2018
Together We Rise,Judy Chu (D-Calif),22000,22000,0,Solidly Democrat/Liberal,2018
Together United for Liberty Integrity & Prosperity,John Moolenaar (R-Mich),21900,0,21900,Solidly Republican/Conservative,2018
Pioneer PAC (Rob Bishop),Rob Bishop (R-Utah),21500,0,21500,Solidly Republican/Conservative,2018
Your Voice Counts,Mark R Meadows (R-NC),21000,0,21000,Solidly Republican/Conservative,2018
Athena PAC,Kathy Castor (D-Fla),21000,21000,0,Solidly Democrat/Liberal,2018
Hudson Valley PAC (Maloney),Sean Patrick Maloney (D-NY),20800,20800,0,Solidly Democrat/Liberal,2018
Senate Majority Fund,ex-Sen. Jon L. Kyl (R-Ariz),20700,0,20700,Solidly Republican/Conservative,2018
Milk River PAC,Yvette D Clarke (D-NY),20000,20000,0,Solidly Democrat/Liberal,2018
Innovate PAC,Mark Desaulnier (D-Calif),19500,19500,0,Solidly Democrat/Liberal,2018
"NorCal Water, Jobs, Liberty",Doug LaMalfa (R-Calif),19400,0,19400,Solidly Republican/Conservative,2018
Defend & Uphold Our Nation Now,Neal Dunn (R-Fla),19000,0,19000,Solidly Republican/Conservative,2018
New Republican Majority Fund,ex-Sen. Trent Lott (R-Miss),18700,0,18700,Solidly Republican/Conservative,2018
Win Back Your State,ex-Gov. Martin O'Malley (D-MD),18328,18328,0,Solidly Democrat/Liberal,2018
United for Progress Leadership Cmte,ex-Rep. Jerry F. Costello (D-Ill),18200,18200,0,Solidly Democrat/Liberal,2018
RedwingMCPAC,ex-Rep. Tim Murphy (R-Pa),18000,0,18000,Solidly Republican/Conservative,2018
